"device","datetime","led","bits","tempC","rh","sys_tempC","sample_rate","volts","sd_roll6","mean_roll6","sd_diff","volts_loess","volts_smoothed","mg_m3"
"epsilon",2017-02-02 11:50:49,"ir",537,21,56,37,0.1,0.4420993,0.000752772652709082,0.433833333333333,0,0.44297474344501,0.44297474344501,0.0285996116742275
"epsilon",2017-02-02 11:50:59,"ir",537,21,56,36.5,0.1,0.4420993,0.000752772652709082,0.433833333333333,0,0.442954741892118,0.442954741892118,0.0277768511465872
"epsilon",2017-02-02 11:51:09,"ir",541,21,56,36.5,0.1,0.4450993,0.000816496580927727,0.433666666666667,-3.67423461417477,0.443041726639352,0.443041726639352,0.0313549541528424
"epsilon",2017-02-02 11:51:19,"ir",539,21,56.1,36.5,0.1,0.4430993,0.00126491106406735,0.434,1.58113883008419,0.443191890451121,0.443191890451121,0.0375319173952846
"epsilon",2017-02-02 11:51:29,"ir",537,21,56.1,36.5,0.1,0.4420993,0.00116904519445001,0.433833333333333,0.855398922768302,0.443287335739286,0.443287335739286,0.0414580433354352
"epsilon",2017-02-02 11:51:39,"ir",538,21,56.1,37,0.1,0.4430993,0.001211060141639,0.433666666666667,-0.82572282384477,0.443277857586934,0.443277857586934,0.0410681611261836
"epsilon",2017-02-02 11:51:49,"ir",542,21,56.1,35.9,0.1,0.4460993,0.00116904519445001,0.433833333333333,-2.5661967683049,0.443235467263353,0.443235467263353,0.0393244422666861
"epsilon",2017-02-02 11:51:59,"ir",537,20.9,56.1,36.5,0.1,0.44205597,0.0016431676725155,0.4345,2.43432247780074,0.443311671254221,0.443311671254221,0.0424590806657221
"epsilon",2017-02-02 11:52:09,"ir",537,20.9,56.1,36.5,0.1,0.44205597,0.0016431676725155,0.4345,0,0.443507685346773,0.443507685346773,0.0505220875275931
"epsilon",2017-02-02 11:52:19,"ir",538,20.9,56.2,37,0.1,0.44305597,0.00154919333848297,0.434,-0.645497224367903,0.443638747359518,0.443638747359518,0.0559133014670117
"epsilon",2017-02-02 11:52:29,"ir",538,20.9,56.2,35.9,0.1,0.44305597,0.00154919333848297,0.434,0,0.443617102889488,0.443617102889488,0.0550229598181318
"epsilon",2017-02-02 11:52:39,"ir",542,20.9,56.2,36.5,0.1,0.44605597,0.00147196014438798,0.434166666666667,-2.03809866146027,0.443572396890531,0.443572396890531,0.0531839860399259
"epsilon",2017-02-02 11:52:49,"ir",541,20.9,56.2,35.9,0.1,0.44505597,0.00186189867250253,0.434666666666667,0.537086155529575,0.443652166878654,0.443652166878654,0.0564653111386981
"epsilon",2017-02-02 11:52:59,"ir",538,20.9,56.2,36.5,0.1,0.44305597,0.0016431676725155,0.4345,1.21716123890037,0.443759012881728,0.443759012881728,0.0608604035768714
"epsilon",2017-02-02 11:53:09,"blue",459,20.9,56.2,40.2,0.0048,0.368773588,0.000816496580927727,0.370666666666667,1.22474487139159,0.369484106117816,0.369484106117816,-0.118908040874437
"epsilon",2017-02-02 11:53:09,"ir",537,20.9,56.2,40.2,0.1,0.44205597,0.00150554530541816,0.434666666666667,0.664211164155072,0.443719106824528,0.443719106824528,0.0592188745987912
"epsilon",2017-02-02 11:53:19,"ir",539,20.9,56.2,37,0.1,0.44305597,0.00150554530541816,0.434666666666667,-0.664211164155072,0.443520726975746,0.443520726975746,0.0510585527507139
"epsilon",2017-02-02 11:53:29,"ir",540,20.9,56.3,36.5,0.1,0.44405597,0.00150554530541816,0.434666666666667,-0.664211164155072,0.443323954701303,0.443323954701303,0.042964358203772
"epsilon",2017-02-02 11:53:39,"ir",541,20.9,56.3,36.5,0.1,0.44505597,0.00147196014438798,0.434833333333333,-0.679366220486757,0.443297862749713,0.443297862749713,0.0418910701459403
"epsilon",2017-02-02 11:53:49,"ir",537,20.9,56.3,36.5,0.1,0.44205597,0.001211060141639,0.434666666666667,2.47716847153431,0.443386075639212,0.443386075639212,0.0455196925784769
"epsilon",2017-02-02 11:53:59,"ir",537,20.9,56.3,36.5,0.1,0.44205597,0.00116904519445001,0.434166666666667,0,0.443379528017663,0.443379528017663,0.0452503572629048
"epsilon",2017-02-02 11:54:09,"ir",540,20.9,56.3,36.5,0.1,0.44405597,0.00126491106406735,0.434,-1.58113883008419,0.443250145810481,0.443250145810481,0.0399282418438958
"epsilon",2017-02-02 11:54:19,"ir",540,20.9,56.2,36.5,0.1,0.44405597,0.001211060141639,0.434333333333333,0,0.443123658228741,0.443123658228741,0.0347251963575879
"epsilon",2017-02-02 11:54:29,"ir",540,20.9,56.3,36.5,0.1,0.44405597,0.00122474487139159,0.4345,0,0.443100844038741,0.443100844038741,0.0337867384736512
"epsilon",2017-02-02 11:54:39,"ir",536,20.9,56.3,36.5,0.1,0.44105597,0.00122474487139159,0.4345,2.44948974278318,0.443120372508369,0.443120372508369,0.0345900388004736
"epsilon",2017-02-02 11:54:49,"ir",538,20.9,56.3,36.5,0.1,0.44305597,0.00132916013582513,0.433833333333333,-1.50470958772656,0.44307930169671,0.44307930169671,0.0329005978428683
"epsilon",2017-02-02 11:54:59,"ir",538,20.9,56.3,35.9,0.1,0.44305597,0.00126491106406735,0.434,0,0.443030588566348,0.443030588566348,0.0308967913856151
"epsilon",2017-02-02 11:55:09,"ir",540,20.9,56.3,35.9,0.1,0.44405597,0.00116904519445001,0.434166666666667,-0.855398922768302,0.443083387224861,0.443083387224861,0.0330686553589494
"epsilon",2017-02-02 11:55:19,"ir",537,20.9,56.3,36.5,0.1,0.44205597,0.00116904519445001,0.434166666666667,1.7107978455366,0.443239616767963,0.443239616767963,0.0394951314437151
"epsilon",2017-02-02 11:55:29,"ir",538,20.9,56.3,36.5,0.1,0.44305597,0.00116904519445001,0.433833333333333,-0.855398922768302,0.443388066349696,0.443388066349696,0.0456015801207812
"epsilon",2017-02-02 11:55:39,"ir",540,20.9,56.3,35.4,0.1,0.44405597,0.00103279555898865,0.433666666666667,-0.968245836551854,0.443427671916364,0.443427671916364,0.047230748471133
"epsilon",2017-02-02 11:55:49,"ir",540,20.9,56.3,36.5,0.1,0.44405597,0.000752772652709082,0.434166666666667,0,0.443376744800907,0.443376744800907,0.0451358701078703
"epsilon",2017-02-02 11:55:59,"ir",540,20.9,56.3,36.5,0.1,0.44405597,0.000816496580927727,0.434333333333333,0,0.443273730587948,0.443273730587948,0.0408983977142015
"epsilon",2017-02-02 11:56:09,"ir",538,20.9,56.3,35.9,0.1,0.44305597,0.000836660026534076,0.4345,1.19522860933439,0.443115494473947,0.443115494473947,0.0343893816716623
"epsilon",2017-02-02 11:56:19,"ir",538,20.9,56.3,40.2,0.1,0.44305597,0.000816496580927727,0.434333333333333,0,0.442863784900004,0.442863784900004,0.0240353505126087
"epsilon",2017-02-02 11:56:29,"ir",537,20.9,56.4,40.8,0.1,0.44205597,0.000547722557505167,0.4345,1.82574185835055,0.442605864716862,0.442605864716862,0.0134258469845356
"epsilon",2017-02-02 11:56:39,"blue",460,20.9,56.4,41.3,0.0048,0.369773588,0.000836660026534076,0.3705,-1.19522860933439,0.36952461674255,0.36952461674255,-0.11642672912814
"epsilon",2017-02-02 11:56:39,"ir",537,20.9,56.4,41.3,0.1,0.44205597,0.000816496580927727,0.434333333333333,0,0.442442043805112,0.442442043805112,0.00668710122214122
"epsilon",2017-02-02 11:56:49,"ir",537,20.9,56.4,38.6,0.1,0.44205597,0.000894427190999917,0.434,0,0.442404910839143,0.442404910839143,0.00515964288731041
"epsilon",2017-02-02 11:56:59,"ir",536,20.9,56.4,37,0.1,0.44105597,0.000816496580927727,0.433666666666667,1.22474487139159,0.442440854790009,0.442440854790009,0.00663819128504528
"epsilon",2017-02-02 11:57:09,"ir",539,20.9,56.4,36.5,0.1,0.44305597,0.000752772652709082,0.433166666666667,-2.65684465662029,0.442519094277044,0.442519094277044,0.00985655947795649
"epsilon",2017-02-02 11:57:19,"ir",539,20.9,56.4,37,0.1,0.44305597,0.000752772652709082,0.433166666666667,0,0.44264309112658,0.44264309112658,0.0149571491123162
"epsilon",2017-02-02 11:57:29,"ir",540,20.8,56.5,36.5,0.1,0.44401264,0.000752772652709082,0.433166666666667,-1.32842232831014,0.44278045439457,0.44278045439457,0.0206075641306853
"epsilon",2017-02-02 11:57:39,"ir",537,20.8,56.5,36.5,0.1,0.44201264,0.00104880884817015,0.4335,1.90692517849118,0.442866873833678,0.442866873833678,0.0241624132818394
"epsilon",2017-02-02 11:57:49,"ir",539,20.9,56.5,36.5,0.1,0.44305597,0.00104880884817015,0.4335,-0.953462589245592,0.442855820357665,0.442855820357665,0.0237077303976676
"epsilon",2017-02-02 11:57:59,"ir",539,20.9,56.5,36.5,0.1,0.44305597,0.00103279555898865,0.433666666666667,0,0.442776661641509,0.442776661641509,0.0204515498688522
"epsilon",2017-02-02 11:58:09,"ir",539,20.9,56.5,36.5,0.1,0.44305597,0.000632455532033676,0.434,0,0.442714194509752,0.442714194509752,0.0178819748681995
"epsilon",2017-02-02 11:58:19,"ir",537,20.8,56.5,36.5,0.1,0.44201264,0.000632455532033676,0.434,1.58113883008419,0.442681595097562,0.442681595097562,0.0165410035086637
"epsilon",2017-02-02 11:58:29,"ir",537,20.8,56.5,36.5,0.1,0.44201264,0.000752772652709082,0.433833333333333,0,0.442638204719779,0.442638204719779,0.0147561475870894
"epsilon",2017-02-02 11:58:39,"ir",539,20.8,56.5,36.5,0.1,0.44301264,0.000547722557505167,0.4335,-1.82574185835055,0.442606118094581,0.442606118094581,0.0134362696345534
"epsilon",2017-02-02 11:58:49,"ir",539,20.8,56.5,35.9,0.1,0.44301264,0.000516397779494323,0.433666666666667,0,0.442629533615922,0.442629533615922,0.0143994631824569
"epsilon",2017-02-02 11:58:59,"ir",539,20.8,56.5,35.9,0.1,0.44301264,0.000516397779494323,0.433666666666667,0,0.44268949615676,0.44268949615676,0.0168660122552247
"epsilon",2017-02-02 11:59:09,"ir",536,20.8,56.5,36.5,0.1,0.44101264,0.000516397779494323,0.433666666666667,3.87298334620742,0.442705347893511,0.442705347893511,0.0175180707910592
"epsilon",2017-02-02 11:59:19,"ir",540,20.8,56.5,35.9,0.1,0.44401264,0.000816496580927727,0.433333333333333,-3.67423461417477,0.442679691460297,0.442679691460297,0.0164626977086364
"epsilon",2017-02-02 11:59:29,"ir",539,20.8,56.5,35.9,0.1,0.44301264,0.00103279555898865,0.433666666666667,0.968245836551854,0.442701263022639,0.442701263022639,0.0173500403120244
"epsilon",2017-02-02 11:59:39,"ir",539,20.8,56.6,35.9,0.1,0.44301264,0.000983192080250176,0.433833333333333,0,0.442821690226156,0.442821690226156,0.022303793155384
"epsilon",2017-02-02 11:59:49,"ir",536,20.8,56.5,39.7,0.1,0.44101264,0.000983192080250176,0.433833333333333,2.03419051086243,0.442995982993897,0.442995982993897,0.0294732969597611
"epsilon",2017-02-02 11:59:59,"blue",460,20.8,56.6,40.8,0.005,0.369779456,0.000836660026534076,0.3705,0,0.369585717711959,0.369585717711959,-0.112684240482245
"epsilon",2017-02-02 11:59:59,"ir",539,20.8,56.6,40.8,0.1,0.44301264,0.00122474487139159,0.4335,-1.63299316185545,0.443135094435819,0.443135094435819,0.0351956228200017
"epsilon",2017-02-02 12:00:09,"ir",540,20.8,56.6,37.6,0.1,0.44401264,0.00122474487139159,0.4335,-0.816496580927726,0.443263309559492,0.443263309559492,0.0404697304543511
"epsilon",2017-02-02 12:00:19,"ir",540,20.8,56.6,36.5,0.1,0.44401264,0.00109544511501033,0.434,0,0.44352702197985,0.44352702197985,0.0513174966900323
"epsilon",2017-02-02 12:00:29,"ir",540,20.8,56.6,37,0.1,0.44401264,0.00109544511501033,0.434,0,0.44389538645089,0.44389538645089,0.0664701074997431
"epsilon",2017-02-02 12:00:39,"ir",538,20.8,56.6,36.5,0.1,0.44301264,0.00116904519445001,0.434166666666667,0.855398922768302,0.44417531305747,0.44417531305747,0.0779848415695739
"epsilon",2017-02-02 12:00:49,"ir",540,20.8,56.6,36.5,0.1,0.44401264,0.00116904519445001,0.434166666666667,-0.855398922768302,0.444243630201608,0.444243630201608,0.0807950558495527
"epsilon",2017-02-02 12:00:59,"ir",542,20.8,56.6,35.4,0.1,0.44601264,0.000516397779494323,0.434666666666667,-3.87298334620742,0.444180835267578,0.444180835267578,0.078211996757318
"epsilon",2017-02-02 12:01:09,"ir",542,20.8,56.6,36.5,0.1,0.44601264,0.000983192080250176,0.435166666666667,0,0.444121124040838,0.444121124040838,0.0757557854478677
