"device","led","datetime","bits","tempC","rh","sys_tempC"
"alpha","ir",2017-02-02 10:01:31,565,20.4,54.9,39.7
"alpha","ir",2017-02-02 10:01:41,565,20.4,54.9,39.7
"alpha","ir",2017-02-02 10:01:51,568,20.4,54.9,39.7
"alpha","ir",2017-02-02 10:02:01,567,20.4,54.9,38.6
"alpha","ir",2017-02-02 10:02:11,567,20.4,54.9,39.2
"alpha","ir",2017-02-02 10:02:21,565,20.4,55,39.7
"alpha","ir",2017-02-02 10:02:31,567,20.4,55,39.7
"alpha","ir",2017-02-02 10:02:41,567,20.4,55,39.2
"alpha","ir",2017-02-02 10:02:51,567,20.4,55,39.2
"alpha","ir",2017-02-02 10:03:01,564,20.4,55,39.7
"alpha","ir",2017-02-02 10:03:11,564,20.4,55,43.5
"alpha","blue",2017-02-02 10:03:11,455,20.4,55,43.5
"alpha","ir",2017-02-02 10:03:21,567,20.4,55,40.2
"alpha","ir",2017-02-02 10:03:31,566,20.4,55,39.2
"alpha","ir",2017-02-02 10:03:41,565,20.4,55,39.7
"alpha","ir",2017-02-02 10:03:51,563,20.4,55,39.7
"alpha","ir",2017-02-02 10:04:01,567,20.4,55,39.7
"alpha","ir",2017-02-02 10:04:11,566,20.4,55,38.6
"alpha","ir",2017-02-02 10:04:21,567,20.4,55,39.2
"alpha","ir",2017-02-02 10:04:31,565,20.4,55,39.7
"alpha","ir",2017-02-02 10:04:41,564,20.4,55,38.6
"alpha","ir",2017-02-02 10:04:51,567,20.4,55.1,39.2
"alpha","ir",2017-02-02 10:05:01,567,20.4,55.1,39.2
"alpha","ir",2017-02-02 10:05:11,567,20.4,55.1,39.2
"alpha","ir",2017-02-02 10:05:21,564,20.4,55.1,39.2
"alpha","ir",2017-02-02 10:05:31,567,20.4,55.1,39.2
"alpha","ir",2017-02-02 10:05:41,567,20.4,55.1,39.7
"alpha","ir",2017-02-02 10:05:51,568,20.4,55.1,39.2
"alpha","ir",2017-02-02 10:06:01,564,20.4,55.1,39.7
"alpha","ir",2017-02-02 10:06:11,564,20.4,55.1,38.6
"alpha","ir",2017-02-02 10:06:21,564,20.4,55.1,42.9
"alpha","ir",2017-02-02 10:06:31,563,20.4,55.1,44
"alpha","ir",2017-02-02 10:06:41,563,20.4,55.1,44
"alpha","blue",2017-02-02 10:06:41,457,20.4,55.1,44
"alpha","ir",2017-02-02 10:06:51,563,20.4,55.1,41.3
"alpha","ir",2017-02-02 10:07:01,566,20.4,55.1,39.7
"alpha","ir",2017-02-02 10:07:11,567,20.4,55.1,39.7
"alpha","ir",2017-02-02 10:07:21,566,20.4,55,39.7
"alpha","ir",2017-02-02 10:07:31,564,20.4,55,39.7
"alpha","ir",2017-02-02 10:07:41,564,20.4,55,38.6
"alpha","ir",2017-02-02 10:07:51,565,20.5,55,39.2
"alpha","ir",2017-02-02 10:08:01,566,20.5,55,38.6
"alpha","ir",2017-02-02 10:08:11,566,20.4,55,39.2
"alpha","ir",2017-02-02 10:08:21,564,20.4,55,39.7
"alpha","ir",2017-02-02 10:08:31,567,20.4,55,39.2
"alpha","ir",2017-02-02 10:08:41,567,20.4,54.9,39.2
"alpha","ir",2017-02-02 10:08:51,567,20.4,54.9,39.2
"alpha","ir",2017-02-02 10:09:01,564,20.5,54.9,39.2
