"datetime","pm_dtX","sample_dtX","pm_dtY","sample_dtY"
2017-02-02 13:03:49,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:50,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:51,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:52,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:53,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:54,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:55,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:56,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:57,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:58,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:03:59,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:00,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:01,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:02,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:03,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:04,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:05,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:06,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:07,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:08,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:09,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:10,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:11,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:12,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:13,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:14,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:15,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:16,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:17,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:18,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:19,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:20,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:21,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:22,0,"MANUAL_028",0.001,"MANUAL_005"
2017-02-02 13:04:23,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:24,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:25,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:26,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:27,0,"MANUAL_028",0,"MANUAL_005"
2017-02-02 13:04:28,0,"MANUAL_028",0,"MANUAL_005"
